date,SHIPTYPE,ship_type,date_dist
2016-12-16,8,Tanker,18.8635439965574
2016-12-14,7,Cargo,37.8777708734449
2016-12-15,7,Cargo,41.3893310861632
2016-12-16,7,Cargo,35.7631387847946
2016-12-17,7,Cargo,57.644063133301
2016-12-18,7,Cargo,63.5796846270058
2016-12-19,7,Cargo,49.9726961199697
2016-12-20,7,Cargo,30.7942824312757
2016-12-13,7,Cargo,21.1093781224664
2016-12-13,3,Tug,25.1078620689637
2016-12-14,3,Tug,32.6880281240243
2016-12-15,3,Tug,32.1996339356026
2016-12-16,3,Tug,28.649886463335
2016-12-17,3,Tug,25.8920093202261
2016-12-18,3,Tug,23.8228016827287
2016-12-19,3,Tug,34.8726208745598
2016-12-20,3,Tug,31.9980565533601
2016-12-13,8,Tanker,21.5778714490958
2016-12-14,8,Tanker,21.5755264105291
2016-12-15,8,Tanker,16.8512247245365
2016-12-17,8,Tanker,23.7518215284828
2016-12-18,8,Tanker,31.8482407239266
2016-12-19,8,Tanker,17.5602444282589
2016-12-20,8,Tanker,75.5699681513899
2016-12-14,0,Unspecified,35.5561504497137
2016-12-15,0,Unspecified,29.0956481320589
2016-12-17,0,Unspecified,8.14203235389084
2016-12-19,0,Unspecified,16.9140060710045
2016-12-13,0,Unspecified,18.9277635705672
2016-12-16,0,Unspecified,21.5653721726837
2016-12-18,0,Unspecified,5.19119323379068
2016-12-20,0,Unspecified,21.3883628513111
2016-12-16,6,Passenger,81.2054438612435
2016-12-20,6,Passenger,93.6012888052684
2016-12-16,2,Fishing,34.273330562507
2016-12-20,2,Fishing,50.1348371830393
2016-12-17,2,Fishing,37.8502564431734
2016-12-18,2,Fishing,21.072418757359
2016-12-19,2,Fishing,36.0560900461786
2016-12-13,2,Fishing,37.4720660093715
2016-12-14,2,Fishing,20.840655578025
2016-12-15,2,Fishing,44.3693677967516
2016-12-13,9,Pleasure,8.44199413901284
2016-12-14,9,Pleasure,8.67465532331825
2016-12-15,9,Pleasure,11.9375933395277
2016-12-16,9,Pleasure,8.64572574092964
2016-12-17,9,Pleasure,13.7624071532629
2016-12-18,9,Pleasure,10.0108499544213
2016-12-19,9,Pleasure,9.47526157716293
2016-12-20,9,Pleasure,7.05965147509791
2016-12-13,6,Passenger,89.1518435948362
2016-12-14,6,Passenger,86.3728048904341
2016-12-15,6,Passenger,85.9987649449082
2016-12-17,6,Passenger,75.28476734453
2016-12-18,6,Passenger,61.1700762895154
2016-12-19,6,Passenger,84.5931796550961
2016-12-20,4,High Special,467.380300970874
2016-12-13,4,High Special,361.373346756152
2016-12-14,4,High Special,381.270825049702
2016-12-15,4,High Special,364.037226571768
2016-12-16,4,High Special,412.037054404146
2016-12-17,4,High Special,367.23153931204
2016-12-18,4,High Special,375.520442307692
2016-12-19,4,High Special,365.167950859951
2016-12-13,1,Navigation,0.13737979880928
2016-12-14,1,Navigation,0.23450962591955
2016-12-15,1,Navigation,0.123190792291221
2016-12-16,1,Navigation,0.129256187720991
2016-12-17,1,Navigation,0.113499304738475
2016-12-18,1,Navigation,1.16091740855948
2016-12-19,1,Navigation,0.130081780762565
2016-12-20,1,Navigation,0.14944169246646
